Name,Address,latitude,longitude
La Mota,4999 NE 99th Ave,45.55899035,-122.56097415127621
102nd St Market & Deli,4646 NE 102nd Ave,45.55703525,-122.55736669539473
Gateway Liquor Store,10320 NE HALSEY,45.533447466666665,-122.55625186666667
Natural Remedies,9810 E Burnside St,45.52256666666666,-122.5628731111111
Nectar - Stark,9127 SE Stark,45.51915020408163,-122.56979736734694
Oregon Grown Gift Shop,324 SE 82ND AVE,45.5200501,-122.5786499
82Nd Ave Tobacco & Pipe,400 SE 82ND,45.5198142,-122.5786784
Fubonn Shopping Center,2850 SE 82nd Ave,45.5013972,-122.577467
Budlandia,8135 SE Woodard ave,35.715335,-77.900881
Eastport Liquor,8001 SE Powell Blvd,45.4990282,-122.5801484
Tj'S On Powell,7827 SE Powell Blvd,45.49769355,-122.58213505
Portland Bureau Of Emergency Management (Gate 3),3732 SE 99th Ave,45.4951224,-122.56102964139791
Jackson'S Food Store,9215 SE Powell Blvd,45.497650449999995,-122.56805419567539
Powellhurst Laundromat,9131 SE Powell Blvd,45.497768,-122.5692745
Bella'S Italian Bakery,9119 SE Woodstock Blvd,45.4793574,-122.5694707
Nectar - Lents,9222 SE Woodstock,45.4787519,-122.5681955323854
Flipside Bar & Grill,9320 SE Woodstock Blvd,45.4784495,-122.567427
Sapphire At Cedar Crossing (Nursing Home),6003 SE 136th Ave,45.47902165,-122.5246809087134
Refuge Coffee House,9217 SE Foster Rd,45.479805,-122.5680015
Humdinger Pizza,9201 SE Foster Rd,45.4799234,-122.5684268
Shango,8056 SE HAROLD,45.482884299999995,-122.58014690018975
Space Monkey,5511 SE 72ND AVE,45.48280655,-122.5894678
Pizzeria Otto Fopo,7122 SE Foster rd,45.4865927,-122.5900651
Five & Dime,6535 SE Foster Rd,45.4891183,-122.595065
Plaid Pantry,6480 SE Foster,45.4890009,-122.5961336
Henry Higgins Bagels,6420 SE FOSTER,45.489324,-122.5965138
Verdi,6004 SE Foster,45.49183375,-122.60179053734866
Speedboat Coffee,5115 SE Foster Rd,45.49630242857143,-122.60976442857144
Post Office,5010 SE FOSTER,45.4965876,-122.61139799535191
John's Marketplace,3560 SE Powell Blvd,45.496889583333335,-122.62727358333333
Lower Powell Food Carts,3560 SE Powell,39.51789359470729,-94.27489399450162
Providore Foods,2340 NE Sandy Blvd,45.5271658,-122.64175
Meatballs,2329 NE Glisan St,45.5266861,-122.6418024
Katu Television,2153 NE SANDY,45.5269684,-122.6441748
Henry Higgins Bagels,523 NE 19th Ave,45.0075517755102,-93.259605
See See Motorcycle Coffee,1642 NE Sandy Blvd,45.52449835,-122.64872435000001
Metro Regional Center,600 NE GRAND,48.386104,5.4866253
,650 NE HOLLADAY,45.5297494,-122.6591738
Green Zebra,808 NE Multnomah St,45.5312458,-122.6573479
Calaroga Terrace,1400 NE 2nd Ave,45.533407499999996,-122.66315777892292
Paramount Apts.,N Flint & Broadway,53.2091621,-3.0646386
Portland Public Schools,501 N. Dixon St.,45.53555,-122.67147879121228
Convention Center,NE Oregon & Martin Luther King Jr Blvd,45.5234498,-122.66185215
Cup And Bar,118 NE Mlk blvd,45.5239547,-122.6614318
,123 NE 3rd Ave,45.52400705,-122.66304632609442
Sheridan Fruit Company,409 SE OAK,49.6047003,6.1243938
Produce Row Cafe,204 SE Oak,40.77776355,-77.84578065679332
Clark Lewis,1001 SE Water Ave,45.515284,-122.666026
Boke Bowl - Water Ave,1028 SE Water Ave,45.5153617,-122.6655131
Water Avenue Coffee,1028 SE WATER AVE #145,32.80961617739069,-93.41704008887243
Mult County Bldg   ,501 SE HAWTHORNE,45.5118694,-122.6602571
Baerlic Brewing Company,2239 SE 11th Ave,45.5066364,-122.6549815
Farma,916 SE HAWTHORNE,45.512039400000006,-122.65629163170505
11Th Ave Liquor,1601 SE 11th Ave,45.511292,-122.655002
Upper Left Roasters,1204 SE Clay,45.511325150000005,-122.65342985241313
Burgerville,1122 SE Hawthorne Blvd,45.51202865,-122.654003475
Tiny'S Coffee,1412 SE 12th Ave,45.512629700000005,-122.65343417497678
,SE 16TH & HAWTHORNE,45.5121416,-122.6491223
Devil'S Dill,1711 SE HAWTHORNE,45.5123323,-122.6483021
Good Coffee,1150 SE 12th Ave,45.5144796,-122.6534885
The Rose Apartments,631 SE TAYLOR,42.240872,-83.2696509
Post Office Se   ,SE 7TH & TAYLOR,33.1004108,-93.4610066
Nw Corner By Cascade Brewing, SE 10th & Belmont,40.2872973,-78.8894685
Market Of Choice - ,SE 11th and Belmont,41.6501651,-75.3998687
Market Of Choice (Sw Corner Street Entrance),SE 11th & Belmont,45.5162144,-122.654763
Emanuel Hospital (Rack Inside),501 N Graham,45.5431541,-122.6711803
Red Cross  -   ,3131 N VANCOUVER,45.5462277,-122.66857867531883
New Seasons  Williams Ave. Inside,3445 N. WILLIAMS,32.0485233,-102.1228236
New Seasons  Williams  Ave.,N. WILLIAMS & FREMONT,45.5484937,-122.666598
Eat: Oyster Bar,3808 N Williams Ave,45.55031835,-122.66646030000001
Bridge City Collective,4312 N. WILLIAMS,43.639747,-84.0888733
Going Street Market,4601 N WILLIAMS,43.639747,-84.0888733
Ecliptic Mississippi Brewing,825 N. COOK,45.54737005,-122.67511854941363
Mississippi Pizza,3535 N MISSISSIPPI,34.81278046895574,-96.66990475979075
Stormbreak,N. MISSISSIPPI & BEECH,45.5494693,-122.6754883
Biketown Rack,3753 N Mississippi Ave,45.55018685,-122.67595057470282
Stem Wine Bar,3920 N Mississippi Ave,45.55117835,-122.6751845
Barbar,3943 N MISSISSIPPI,45.55151325,-122.67572827514098
Nectar - Boise,4125 N Mississippi Ave,45.5537757,-122.6757069
The Rambler,4205 N Mississippi Ave,45.554071,-122.67579315
Mississippi Food Cart Pod,N SKIDMORE & MISSISSIPPI,45.5547166,-122.6756149
Albina Press,4637 N ALBINA,45.5567452,-122.675134
,4938 N Albina Ave,45.5588741,-122.6748424
