,Name,Address,latitude,longitude,geometry
0,La Mota,4999 NE 99th Ave,45.55899035,-122.5609741512762,POINT (-122.5609741512762 45.55899035)
1,102nd St Market & Deli,4646 NE 102nd Ave,45.55703525,-122.55736669539472,POINT (-122.55736669539472 45.55703525)
2,Gateway Liquor Store,10320 NE HALSEY,45.533447466666665,-122.55625186666668,POINT (-122.55625186666668 45.533447466666665)
3,Natural Remedies,9810 E Burnside St,45.52256666666666,-122.5628731111111,POINT (-122.5628731111111 45.52256666666666)
4,Nectar - Stark,9127 SE Stark,45.51915020408163,-122.56979736734694,POINT (-122.56979736734694 45.51915020408163)
5,Oregon Grown Gift Shop,324 SE 82ND AVE,45.5200501,-122.5786499,POINT (-122.5786499 45.5200501)
6,82Nd Ave Tobacco & Pipe,400 SE 82ND,45.5198142,-122.5786784,POINT (-122.5786784 45.5198142)
7,Fubonn Shopping Center,2850 SE 82nd Ave,45.5013972,-122.577467,POINT (-122.577467 45.5013972)
8,Budlandia,8135 SE Woodard ave,35.715335,-77.900881,POINT (-77.900881 35.715335)
9,Eastport Liquor,8001 SE Powell Blvd,45.4990282,-122.5801484,POINT (-122.5801484 45.4990282)
10,Tj'S On Powell,7827 SE Powell Blvd,45.49769355,-122.58213505,POINT (-122.58213505 45.49769355)
11,Portland Bureau Of Emergency Management (Gate 3),3732 SE 99th Ave,45.4951224,-122.56102964139792,POINT (-122.56102964139792 45.4951224)
12,Jackson'S Food Store,9215 SE Powell Blvd,45.49765045,-122.5680541956754,POINT (-122.5680541956754 45.49765045)
13,Powellhurst Laundromat,9131 SE Powell Blvd,45.497768,-122.5692745,POINT (-122.5692745 45.497768)
14,Bella'S Italian Bakery,9119 SE Woodstock Blvd,45.4793574,-122.5694707,POINT (-122.5694707 45.4793574)
15,Nectar - Lents,9222 SE Woodstock,45.4787519,-122.5681955323854,POINT (-122.5681955323854 45.4787519)
16,Flipside Bar & Grill,9320 SE Woodstock Blvd,45.4784495,-122.567427,POINT (-122.567427 45.4784495)
17,Sapphire At Cedar Crossing (Nursing Home),6003 SE 136th Ave,45.47902165,-122.5246809087134,POINT (-122.5246809087134 45.47902165)
18,Refuge Coffee House,9217 SE Foster Rd,45.479805,-122.5680015,POINT (-122.5680015 45.479805)
19,Humdinger Pizza,9201 SE Foster Rd,45.4799234,-122.5684268,POINT (-122.5684268 45.4799234)
20,Shango,8056 SE HAROLD,45.4828843,-122.58014690018976,POINT (-122.58014690018976 45.4828843)
21,Space Monkey,5511 SE 72ND AVE,45.48280655,-122.5894678,POINT (-122.5894678 45.48280655)
22,Pizzeria Otto Fopo,7122 SE Foster rd,45.4865927,-122.5900651,POINT (-122.5900651 45.4865927)
23,Five & Dime,6535 SE Foster Rd,45.4891183,-122.595065,POINT (-122.595065 45.4891183)
24,Plaid Pantry,6480 SE Foster,45.4890009,-122.5961336,POINT (-122.5961336 45.4890009)
25,Henry Higgins Bagels,6420 SE FOSTER,45.489324,-122.5965138,POINT (-122.5965138 45.489324)
26,Verdi,6004 SE Foster,45.49183375,-122.60179053734866,POINT (-122.60179053734866 45.49183375)
27,Speedboat Coffee,5115 SE Foster Rd,45.49630242857143,-122.60976442857144,POINT (-122.60976442857144 45.49630242857143)
28,Post Office,5010 SE FOSTER,45.4965876,-122.61139799535192,POINT (-122.61139799535192 45.4965876)
29,John's Marketplace,3560 SE Powell Blvd,45.496889583333335,-122.62727358333332,POINT (-122.62727358333332 45.496889583333335)
30,Lower Powell Food Carts,3560 SE Powell,39.51789359470729,-94.27489399450162,POINT (-94.27489399450162 39.51789359470729)
31,Providore Foods,2340 NE Sandy Blvd,45.5271658,-122.64175,POINT (-122.64175 45.5271658)
32,Meatballs,2329 NE Glisan St,45.5266861,-122.6418024,POINT (-122.6418024 45.5266861)
33,Katu Television,2153 NE SANDY,45.5269684,-122.6441748,POINT (-122.6441748 45.5269684)
34,Henry Higgins Bagels,523 NE 19th Ave,45.0075517755102,-93.259605,POINT (-93.259605 45.0075517755102)
35,See See Motorcycle Coffee,1642 NE Sandy Blvd,45.52449835,-122.64872435,POINT (-122.64872435 45.52449835)
36,Metro Regional Center,600 NE GRAND,48.386104,5.4866253,POINT (5.4866253 48.386104)
37,,650 NE HOLLADAY,45.5297494,-122.6591738,POINT (-122.6591738 45.5297494)
38,Green Zebra,808 NE Multnomah St,45.5312458,-122.6573479,POINT (-122.6573479 45.5312458)
39,Calaroga Terrace,1400 NE 2nd Ave,45.5334075,-122.66315777892292,POINT (-122.66315777892292 45.5334075)
40,Paramount Apts.,N Flint & Broadway,53.2091621,-3.0646386,POINT (-3.0646386 53.2091621)
